Frame,time,blue,darkblue,darkgold,darkgreen,darkorange,darkred,darkteal,gray,green,lime,magenta,orange,pink,purple,red,teal,turkis,violet,white,yellow
screenshot_20250917_205142,4,,0,,,,,,,,,,0,,,,,,,,
screenshot_20250917_205147,38,,167,,,,,,,,,,152,,,,,,,,
screenshot_20250917_205153,73,,400,,,,,,,,,,386,,,,,,,,
screenshot_20250917_205158,108,,633,,,,,,,,,,620,,,,,,,,
screenshot_20250917_205204,143,,1100.0,,,,,,,,,,803,,,,,,,,
screenshot_20250917_205209,,,1400.0,,,,,,,,,,1300.0,,,,,,,,
screenshot_20250917_205215,212,,1700.0,,,,,,,,,,1700.0,,,,,,,,
screenshot_20250917_205220,246,,2100.0,,,,,,,,,,2100.0,,,,,,,,
screenshot_20250917_205226,281,,2600.0,,,,,,,,,,2600.0,,,,,,,,
screenshot_20250917_205231,316,,3100.0,,,,,,,,,,2800.0,,,,,,,,
screenshot_20250917_205237,351,,3700.0,,,,,,,,,,3100.0,,,,,,,,
screenshot_20250917_205242,385,,4600.0,,,,,,,,,,3600.0,,,,,,,,
screenshot_20250917_205248,420,,5300.0,,,,,,,,,,4400.0,,,,,,,,
screenshot_20250917_205253,454,,6300.0,,,,,,,,,,5100.0,,,,,,,,
screenshot_20250917_205259,489,,7000.0,,,,,,,,,,5500.0,,,,,,,,
screenshot_20250917_205304,524,,7800.0,,,,,,,,,,5800.0,,,,,,,,
screenshot_20250917_205310,559,,9200.0,,,,,,,,,,5900.0,,,,,,,,
screenshot_20250917_205315,594,,9500.0,,,,,,,,,,6300.0,,,,,,,,
screenshot_20250917_205321,628,,10000.0,,,,,,,,,,6800.0,,,,,,,,
screenshot_20250917_205326,663,,10000.0,,,,,,,,,,7900.0,,,,,,,,
screenshot_20250917_205332,698,,11000.0,,,,,,,,,,8600.0,,,,,,,,
screenshot_20250917_205337,732,,12000.0,,,,,,,,,,9100.0,,,,,,,,
screenshot_20250917_205343,766,,13000.0,,,,,,,,,,9800.0,,,,,,,,
screenshot_20250917_205348,802,,14000.0,,,,,,,,,,10000.0,,,,,,,,
screenshot_20250917_205354,836,,15000.0,,,,,,,,,,11000.0,,,,,,,,
screenshot_20250917_205359,871,,16000.0,,,,,,,,,,12000.0,,,,,,,,
screenshot_20250917_205405,905,,16000.0,,,,,,,,,,12000.0,,,,,,,,
screenshot_20250917_205410,940,,18000.0,,,,,,,,,,13000.0,,,,,,,,
screenshot_20250917_205416,975,,19000.0,,,,,,,,,,14000.0,,,,,,,,
screenshot_20250917_205421,1010,,20000.0,,,,,,,,,,14000.0,,,,,,,,
screenshot_20250917_205427,1044,,22000.0,,,,,,,,,,15000.0,,,,,,,,
screenshot_20250917_205432,1079,,24000.0,,,,,,,,,,16000.0,,,,,,,,
screenshot_20250917_205438,1114,,25000.0,,,,,,,,,,17000.0,,,,,,,,
screenshot_20250917_205443,1148,,29000.0,,,,,,,,,,17000.0,,,,,,,,
screenshot_20250917_205449,1183,,31000.0,,,,,,,,,,18000.0,,,,,,,,
screenshot_20250917_205454,1217,,32000.0,,,,,,,,,,18000.0,,,,,,,,
screenshot_20250917_205500,,,34000.0,,,,,,,,,,19000.0,,,,,,,,
screenshot_20250917_205505,1287,,35000.0,,,,,,,,,,20000.0,,,,,,,,
screenshot_20250917_205511,1322,,38000.0,,,,,,,,,,21000.0,,,,,,,,
screenshot_20250917_205516,1356,,41000.0,,,,,,,,,,22000.0,,,,,,,,
screenshot_20250917_205522,1390,,44000.0,,,,,,,,,,22000.0,,,,,,,,
